,,,DM_n,DM_mean,DM_std,DM_statistics
2__PSTAT002,Persistent,Ada Bayes,10117.0,0.003362667854718152,0.00012891662686877726,26.082761729826338
2__PSTAT002,AR Logit Default,Persistent,10118.0,-0.0027169784674823173,0.00013080575624278774,-20.770066070503784
2__PSTAT002,AR Logit Default,AR Logit Default,0.0,1.0,1.0,0.0
2__PSTAT002,AR Logit Default,AR Flx Logit,10118.0,9.34132424462069e-06,1.8418342033103418e-06,5.07150024542034
2__PSTAT002,AR Logit Default,RLS,10118.0,-0.0007884318084968462,0.00011747122517923054,-6.711369907744691
2__PSTAT002,AR Logit Default,sRLS,10118.0,8.036681033500932e-05,3.3438931331011064e-05,2.40327174227901
2__PSTAT002,AR Logit Default,RMLE,10117.0,9.095414221859058e-06,1.8468356593588035e-06,4.9246204735321895
2__PSTAT002,AR Logit Default,sRMLE,10117.0,9.220730689875125e-06,1.8405128023866981e-06,5.009622840913265
2__PSTAT002,AR Logit Default,Bayes,10118.0,0.00020053124193089396,9.945065855111385e-06,20.16289635272615
2__PSTAT002,AR Logit Default,Ada Bayes,10117.0,0.0006458914463565237,2.2800370509099643e-05,28.326711805614504
2__PSTAT002,AR Flx Logit,Persistent,10118.0,-0.002726319791726938,0.00013161662651955906,-20.713075044313634
2__PSTAT002,AR Flx Logit,AR Logit Default,10118.0,-9.34132424462069e-06,1.8418342033103418e-06,-5.07150024542034
2__PSTAT002,AR Flx Logit,AR Flx Logit,0.0,1.0,1.0,0.0
2__PSTAT002,AR Flx Logit,RLS,10118.0,-0.0007977731327414669,0.00011734494838422153,-6.798193865967608
2__PSTAT002,AR Flx Logit,sRLS,10118.0,7.102548609038866e-05,3.321393526160345e-05,2.138318617963324
2__PSTAT002,AR Flx Logit,RMLE,10117.0,-2.436405343483097e-07,2.132425620288272e-08,-11.424946811163016
2__PSTAT002,AR Flx Logit,sRMLE,10117.0,-1.1832406633224307e-07,1.3821138305088878e-08,-8.560671038215713
2__PSTAT002,AR Flx Logit,Bayes,10118.0,0.00019118991768627325,9.563878533468538e-06,19.98984708708959
2__PSTAT002,AR Flx Logit,Ada Bayes,10117.0,0.0006365523916003162,2.2606092318926605e-05,28.157052634317825
2__PSTAT002,RLS,Persistent,10118.0,-0.001928546658985471,0.00018549766822416439,-10.39609485301288
2__PSTAT002,RLS,AR Logit Default,10118.0,0.0007884318084968462,0.00011747122517923054,6.711369907744691
2__PSTAT002,RLS,AR Flx Logit,10118.0,0.0007977731327414669,0.00011734494838422153,6.798193865967608
2__PSTAT002,RLS,RLS,0.0,1.0,1.0,0.0
2__PSTAT002,RLS,sRLS,10118.0,0.0008687986188318555,0.00011757290883032734,7.389080470122079
2__PSTAT002,RLS,RMLE,10117.0,0.0007976083714687447,0.00011735652460201262,6.796119380545696
2__PSTAT002,RLS,sRMLE,10117.0,0.0007977336879367606,0.0001173556535014623,6.797237608546811
2__PSTAT002,RLS,Bayes,10118.0,0.0009889630504277401,0.00011883643545262849,8.321641203599075
2__PSTAT002,RLS,Ada Bayes,10117.0,0.0014344044036034092,0.00012011332050953922,11.941502449268175
2__PSTAT002,sRLS,Persistent,10118.0,-0.0027973452778173266,0.00013935670771796324,-20.072281299769674
2__PSTAT002,sRLS,AR Logit Default,10118.0,-8.036681033500932e-05,3.3438931331011064e-05,-2.40327174227901
2__PSTAT002,sRLS,AR Flx Logit,10118.0,-7.102548609038866e-05,3.321393526160345e-05,-2.138318617963324
2__PSTAT002,sRLS,RLS,10118.0,-0.0008687986188318555,0.00011757290883032734,-7.389080470122079
2__PSTAT002,sRLS,sRLS,0.0,1.0,1.0,0.0
2__PSTAT002,sRLS,RMLE,10117.0,-7.138049491073252e-05,3.320926813439484e-05,-2.1493086443417893
2__PSTAT002,sRLS,sRMLE,10117.0,-7.12551784427165e-05,3.322015431223735e-05,-2.144832204249278
2__PSTAT002,sRLS,Bayes,10118.0,0.0001201644315958846,2.9210730819849597e-05,4.113505205976159
