,,Order_Select_1,Order_Select_2,Order_Select_3,Order_Select_4,Order_Select_5,Order_Select_6
T_ANSUW-1,Persistent,1.0,1.0,1.0,,,1.0
T_ANSUW-1,AR Logit Default,1.0,1.0,1.0,,,1.0
T_ANSUW-1,AR Flx Logit,1.0,1.0,1.0,,,1.0
T_ANSUW-1,RLS,1.0,1.0,1.0,,,1.0
T_ANSUW-1,sRLS,1.0,1.0,1.0,,,1.0
T_ANSUW-1,RMLE,1.0,1.0,1.0,,,1.0
T_ANSUW-1,sRMLE,1.0,1.0,1.0,,,1.0
T_ANSUW-1,Bayes,1.0,1.0,1.0,,,1.0
T_ANSUW-1,Ada Bayes,1.0,1.0,1.0,,,1.0
T_ARCHW-1,Persistent,1.0,1.0,,1.0,1.0,
T_ARCHW-1,AR Logit Default,1.0,1.0,,1.0,1.0,
T_ARCHW-1,AR Flx Logit,1.0,1.0,,1.0,1.0,
T_ARCHW-1,RLS,1.0,1.0,,1.0,1.0,
T_ARCHW-1,sRLS,1.0,1.0,,1.0,1.0,
T_ARCHW-1,RMLE,1.0,1.0,,1.0,1.0,
T_ARCHW-1,sRMLE,1.0,1.0,,1.0,1.0,
T_ARCHW-1,Bayes,1.0,1.0,,1.0,1.0,
T_ARCHW-1,Ada Bayes,1.0,1.0,,1.0,1.0,
T_BEATO-1,Persistent,1.0,1.0,1.0,,,
T_BEATO-1,AR Logit Default,1.0,1.0,1.0,,,
T_BEATO-1,AR Flx Logit,1.0,1.0,1.0,,,
T_BEATO-1,RLS,1.0,1.0,1.0,,,
T_BEATO-1,sRLS,1.0,1.0,1.0,,,
T_BEATO-1,RMLE,1.0,1.0,1.0,,,
T_BEATO-1,sRMLE,1.0,1.0,1.0,,,
T_BEATO-1,Bayes,1.0,1.0,1.0,,,
T_BEATO-1,Ada Bayes,1.0,1.0,1.0,,,
T_BEATO-2,Persistent,1.0,,1.0,,,
T_BEATO-2,AR Logit Default,1.0,,1.0,,,
T_BEATO-2,AR Flx Logit,1.0,,1.0,,,
T_BEATO-2,RLS,1.0,,1.0,,,
T_BEATO-2,sRLS,1.0,,1.0,,,
T_BEATO-2,RMLE,1.0,,1.0,,,
T_BEATO-2,sRMLE,1.0,,1.0,,,
T_BEATO-2,Bayes,1.0,,1.0,,,
T_BEATO-2,Ada Bayes,1.0,,1.0,,,
T_BEATO-3,Persistent,1.0,1.0,1.0,,1.0,
T_BEATO-3,AR Logit Default,1.0,1.0,1.0,,1.0,
T_BEATO-3,AR Flx Logit,1.0,1.0,1.0,,1.0,
T_BEATO-3,RLS,1.0,1.0,1.0,,1.0,
T_BEATO-3,sRLS,1.0,1.0,1.0,,1.0,
T_BEATO-3,RMLE,1.0,1.0,1.0,,1.0,
T_BEATO-3,sRMLE,1.0,1.0,1.0,,1.0,
T_BEATO-3,Bayes,1.0,1.0,1.0,,1.0,
T_BEATO-3,Ada Bayes,1.0,1.0,1.0,,1.0,
T_BEATO-4,Persistent,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,AR Logit Default,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,AR Flx Logit,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,RLS,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,sRLS,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,RMLE,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,sRMLE,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,Bayes,1.0,1.0,1.0,1.0,1.0,
T_BEATO-4,Ada Bayes,1.0,1.0,1.0,1.0,1.0,
T_BEINW-1,Persistent,1.0,,1.0,,,
T_BEINW-1,AR Logit Default,1.0,,1.0,,,
T_BEINW-1,AR Flx Logit,1.0,,1.0,,,
T_BEINW-1,RLS,1.0,,1.0,,,
T_BEINW-1,sRLS,1.0,,1.0,,,
T_BEINW-1,RMLE,1.0,,1.0,,,
T_BEINW-1,sRMLE,1.0,,1.0,,,
T_BEINW-1,Bayes,1.0,,1.0,,,
T_BEINW-1,Ada Bayes,1.0,,1.0,,,
T_BHLAW-1,Persistent,1.0,,1.0,1.0,1.0,
T_BHLAW-1,AR Logit Default,1.0,,1.0,1.0,1.0,
T_BHLAW-1,AR Flx Logit,1.0,,1.0,1.0,1.0,
T_BHLAW-1,RLS,1.0,,1.0,1.0,1.0,
T_BHLAW-1,sRLS,1.0,,1.0,1.0,1.0,
T_BHLAW-1,RMLE,1.0,,1.0,1.0,1.0,
T_BHLAW-1,sRMLE,1.0,,1.0,1.0,1.0,
T_BHLAW-1,Bayes,1.0,,1.0,1.0,1.0,
T_BHLAW-1,Ada Bayes,1.0,,1.0,1.0,1.0,
T_BLKWW-1,Persistent,1.0,1.0,1.0,,1.0,
T_BLKWW-1,AR Logit Default,1.0,1.0,1.0,,1.0,
T_BLKWW-1,AR Flx Logit,1.0,1.0,1.0,,1.0,
T_BLKWW-1,RLS,1.0,1.0,1.0,,1.0,
T_BLKWW-1,sRLS,1.0,1.0,1.0,,1.0,
T_BLKWW-1,RMLE,1.0,1.0,1.0,,1.0,
T_BLKWW-1,sRMLE,1.0,1.0,1.0,,1.0,
T_BLKWW-1,Bayes,1.0,1.0,1.0,,1.0,
T_BLKWW-1,Ada Bayes,1.0,1.0,1.0,,1.0,
T_BLLA-1,Persistent,1.0,,1.0,1.0,,1.0
T_BLLA-1,AR Logit Default,1.0,,1.0,1.0,,1.0
T_BLLA-1,AR Flx Logit,1.0,,1.0,1.0,,1.0
T_BLLA-1,RLS,1.0,,1.0,1.0,,1.0
T_BLLA-1,sRLS,1.0,,1.0,1.0,,1.0
T_BLLA-1,RMLE,1.0,,1.0,1.0,,1.0
T_BLLA-1,sRMLE,1.0,,1.0,1.0,,1.0
T_BLLA-1,Bayes,1.0,,1.0,1.0,,1.0
T_BLLA-1,Ada Bayes,1.0,,1.0,1.0,,1.0
T_BLLA-2,Persistent,1.0,1.0,1.0,1.0,,
T_BLLA-2,AR Logit Default,1.0,1.0,1.0,1.0,,
T_BLLA-2,AR Flx Logit,1.0,1.0,1.0,1.0,,
T_BLLA-2,RLS,1.0,1.0,1.0,1.0,,
T_BLLA-2,sRLS,1.0,1.0,1.0,1.0,,
T_BLLA-2,RMLE,1.0,1.0,1.0,1.0,,
T_BLLA-2,sRMLE,1.0,1.0,1.0,1.0,,
T_BLLA-2,Bayes,1.0,1.0,1.0,1.0,,
T_BLLA-2,Ada Bayes,1.0,1.0,1.0,1.0,,
T_BOWLW-1,Persistent,1.0,1.0,1.0,,,
T_BOWLW-1,AR Logit Default,1.0,1.0,1.0,,,
T_BOWLW-1,AR Flx Logit,1.0,1.0,1.0,,,
T_BOWLW-1,RLS,1.0,1.0,1.0,,,
T_BOWLW-1,sRLS,1.0,1.0,1.0,,,
T_BOWLW-1,RMLE,1.0,1.0,1.0,,,
T_BOWLW-1,sRMLE,1.0,1.0,1.0,,,
T_BOWLW-1,Bayes,1.0,1.0,1.0,,,
T_BOWLW-1,Ada Bayes,1.0,1.0,1.0,,,
T_BRBEO-1,Persistent,1.0,1.0,1.0,,,
T_BRBEO-1,AR Logit Default,1.0,1.0,1.0,,,
T_BRBEO-1,AR Flx Logit,1.0,1.0,1.0,,,
T_BRBEO-1,RLS,1.0,1.0,1.0,,,
T_BRBEO-1,sRLS,1.0,1.0,1.0,,,
T_BRBEO-1,RMLE,1.0,1.0,1.0,,,
T_BRBEO-1,sRMLE,1.0,1.0,1.0,,,
T_BRBEO-1,Bayes,1.0,1.0,1.0,,,
T_BRBEO-1,Ada Bayes,1.0,1.0,1.0,,,
